TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,DiscountPercent,PaymentType
1,2025-05-04,1034,2059,402,0.0,2048.2,10.0,CreditCard
2,2025-05-04,1066,2048,403,1.0,321.87,0.0,PayPal
3,2025-05-04,1116,2041,403,3.0,3216.84,5.5,Cash
4,2025-05-04,1071,2096,404,2.0,1613.23,20.0,BankTransfer
5,2025-05-04,1020,2060,401,0.0,408.38,15.0,CreditCard
6,2025-05-04,1089,2028,401,0.0,1275.88,7.0,Cash
7,2025-05-04,1193,2003,402,1.0,346.66,0.0,PayPal
8,2025-05-04,1005,2079,402,1.0,855.49,12.5,CreditCard
9,2025-05-04,1032,2060,401,1.0,735.08,8.0,BankTransfer
10,2025-05-04,1119,2089,403,2.0,661.63,3.0,PayPal
11,2025-05-04,1042,2077,401,,505.65,10.0,CreditCard
12,2025-05-04,1079,2013,401,2.0,0.0,0.0,PayPal
13,2025-05-04,1147,2086,404,3.0,4470.5,5.5,Cash
14,2025-05-04,1183,2025,401,1.0,503.32,20.0,BankTransfer
15,2025-05-04,1026,2089,403,0.0,413.52,15.0,CreditCard
16,2025-05-04,1144,2005,403,3.0,1715.12,7.0,Cash
17,2025-05-04,1169,2047,401,2.0,535.97,0.0,PayPal
18,2025-05-04,1003,2053,404,0.0,3660.9,12.5,CreditCard
19,2025-05-04,1110,2046,404,1.0,30.09,8.0,BankTransfer
20,2025-05-04,1111,2022,403,3.0,671.18,3.0,PayPal
21,2025-05-04,1119,2055,403,2.0,?,10.0,CreditCard
22,2025-05-04,1062,2011,403,3.0,1229.22,0.0,PayPal
23,2025-05-04,1062,2096,404,3.0,672.18,5.5,Cash
24,2025-05-04,1086,2003,404,2.0,924.43,20.0,BankTransfer
25,2025-05-04,1046,2062,402,2.0,1981.95,15.0,CreditCard
26,2025-05-04,1066,2043,403,2.0,698.76,7.0,Cash
27,2025-05-04,1142,2001,402,0.0,1237.05,0.0,PayPal
28,2025-05-04,1061,2092,404,3.0,482.21,12.5,CreditCard
29,2025-05-04,1142,2097,402,3.0,4210.5,8.0,BankTransfer
30,2025-05-04,1165,2091,404,3.0,4528.95,3.0,PayPal
31,2023-13-01,1004,2011,403,1.0,737.53,10.0,CreditCard
32,2025-05-04,1103,2088,402,2.0,0.0,0.0,PayPal
33,2025-05-04,1169,2074,403,3.0,0.0,5.5,Cash
34,2025-05-04,1141,2067,403,3.0,872.85,20.0,BankTransfer
35,2025-05-04,1190,2070,403,2.0,54.69,15.0,CreditCard
36,2025-05-04,1179,2058,403,2.0,1066.8,7.0,Cash
37,2025-05-04,1064,2029,401,1.0,12.16,0.0,PayPal
38,2025-05-04,1080,2015,402,1.0,3037.36,12.5,CreditCard
39,2025-05-04,1055,2094,404,2.0,1578.72,8.0,BankTransfer
40,2025-05-04,1185,2075,403,0.0,0.0,3.0,PayPal
41,2025-05-04,9999,2037,402,2.0,288.11,10.0,CreditCard
42,2025-05-04,1045,2038,401,1.0,1667.72,0.0,PayPal
43,2025-05-04,1070,2005,401,2.0,686.05,5.5,Cash
44,2025-05-04,1178,2016,404,0.0,0.0,20.0,BankTransfer
45,2025-05-04,1003,2073,403,3.0,1498.29,15.0,CreditCard
46,2025-05-04,1122,2056,403,1.0,944.5,7.0,Cash
47,2025-05-04,1013,2032,404,0.0,2836.8,0.0,PayPal
48,2025-05-04,1016,2051,404,0.0,117.32,12.5,CreditCard
49,2025-05-04,1147,2080,401,1.0,0.0,8.0,BankTransfer
50,2025-05-04,1038,2072,403,0.0,840.6,3.0,PayPal
51,2025-05-04,1063,2015,404,1.0,1214.95,10.0,CreditCard
52,2025-05-04,1198,2066,404,3.0,516.06,0.0,PayPal
53,2025-05-04,1113,2038,404,2.0,2223.62,5.5,Cash
54,2025-05-04,1145,2079,401,0.0,1901.08,20.0,BankTransfer
55,2025-05-04,1195,2026,402,2.0,507.74,15.0,CreditCard
56,2025-05-04,1169,2010,402,1.0,140.11,7.0,Cash
57,2025-05-04,1044,2070,401,1.0,0.0,0.0,PayPal
58,2025-05-04,1000,2052,404,3.0,2193.78,12.5,CreditCard
59,2025-05-04,1074,2004,402,2.0,741.8,8.0,BankTransfer
60,2025-05-04,1180,2036,404,0.0,217.98,3.0,PayPal
61,2025-05-04,1175,2029,403,1.0,36.48,10.0,CreditCard
62,2025-05-04,1108,2014,402,1.0,221.67,0.0,PayPal
63,2025-05-04,1068,2018,401,0.0,2169.04,5.5,Cash
64,2025-05-04,1042,2039,403,3.0,2929.32,20.0,BankTransfer
65,2025-05-04,1031,2059,403,3.0,0.0,15.0,CreditCard
66,2025-05-04,1069,2064,404,3.0,1470.2,7.0,Cash
67,2025-05-04,1020,2076,401,3.0,4836.42,0.0,PayPal
68,2025-05-04,1188,2041,403,0.0,1608.42,12.5,CreditCard
69,2025-05-04,1023,2029,401,2.0,0.0,8.0,BankTransfer
70,2025-05-04,1147,2005,402,3.0,0.0,3.0,PayPal
71,2025-05-04,1132,2083,404,2.0,614.53,10.0,CreditCard
72,2025-05-04,1046,2074,404,3.0,659.5,0.0,PayPal
73,2025-05-04,1023,2060,403,3.0,1225.14,5.5,Cash
74,2025-05-04,1085,2041,401,1.0,1447.58,20.0,BankTransfer
75,2025-05-04,1084,2052,404,2.0,2925.04,15.0,CreditCard
76,2025-05-04,1169,2051,401,3.0,117.32,7.0,Cash
77,2025-05-04,1022,2040,403,2.0,55.26,0.0,PayPal
78,2025-05-04,1029,2098,404,0.0,3631.44,12.5,CreditCard
