TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,DiscountPercent,PaymentType
1,2025-05-04,1034,2059,402,0,2048.2,10,CreditCard
2,2025-05-04,1066,2048,403,1,321.87,0,PayPal
3,2025-05-04,1116,2041,403,3,3216.84,5.5,Cash
4,2025-05-04,1071,2096,404,2,1613.23,20,BankTransfer
5,2025-05-04,1020,2060,401,0,408.38,15,CreditCard
6,2025-05-04,1089,2028,401,0,1275.88,7,Cash
7,2025-05-04,1193,2003,402,1,346.66,0,PayPal
8,2025-05-04,1005,2079,402,1,855.49,12.5,CreditCard
9,2025-05-04,1032,2060,401,1,735.08,8,BankTransfer
10,2025-05-04,1119,2089,403,2,661.63,3,PayPal
11,2025-05-04,1042,2077,401,,505.65,10,CreditCard
12,2025-05-04,1079,2013,401,2,0.0,0,PayPal
13,2025-05-04,1147,2086,404,3,4470.5,5.5,Cash
14,2025-05-04,1183,2025,401,1,503.32,20,BankTransfer
15,2025-05-04,1026,2089,403,0,413.52,15,CreditCard
16,2025-05-04,1144,2005,403,3,1715.12,7,Cash
17,2025-05-04,1169,2047,401,2,535.97,0,PayPal
18,2025-05-04,1003,2053,404,0,3660.9,12.5,CreditCard
19,2025-05-04,1110,2046,404,1,30.09,8,BankTransfer
20,2025-05-04,1111,2022,403,3,671.18,3,PayPal
21,2025-05-04,1119,2055,403,2,?,10,CreditCard
22,2025-05-04,1062,2011,403,3,1229.22,0,PayPal
23,2025-05-04,1062,2096,404,3,672.18,5.5,Cash
24,2025-05-04,1086,2003,404,2,924.43,20,BankTransfer
25,2025-05-04,1046,2062,402,2,1981.95,15,CreditCard
26,2025-05-04,1066,2043,403,2,698.76,7,Cash
27,2025-05-04,1142,2001,402,0,1237.05,0,PayPal
28,2025-05-04,1061,2092,404,3,482.21,12.5,CreditCard
29,2025-05-04,1142,2097,402,3,4210.5,8,BankTransfer
30,2025-05-04,1165,2091,404,3,4528.95,3,PayPal
